schema	locality_id	service_id	person_id	person_street_id	person_id_internal	person_id_internal_text	person_id_internal_array	tie	paid_lastmonth	charge	subsidy	paid_currentmonth	recommended	date	meters_readings	payment_details
volyn	10001	21	100011	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001251	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001297	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001306	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001347	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001396	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001402	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001404	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001637	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001642	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	1000116576	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	1000116885	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	1000135680	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	1000198219	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001114470	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001163485	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001212193	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545799	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545800	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545801	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545802	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545803	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545804	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545805	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545806	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545807	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545808	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545809	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545810	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545811	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545812	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545813	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545814	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545815	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545816	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545817	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545818	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545819	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545820	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545821	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545822	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545823	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545824	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545825	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545826	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545827	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545828	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545829	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545830	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
